Авдей
Зигмунд
Зигфрид
Зосим
Зорий
Зосим
Зосима
Зот
Икар
Иларий
Ипат
Ипполит
Исей
Иессей
Изяслав
Ий
Измаил
Исмаил
Игорь
Иероним
Исак
Исакий
Игнатий
Игнат
Иннокентий
Иоанн
Ибрагим
Иван
Илиодор
Илларион
Исидор
Июлий
Иосиф
Ипатий
Илар
Илий
Исай
Исайя
Иларион
Илья
Ириний
Ирм
Ираклий
Ириней
Кармий
Карп
Казимир
Калина
Капитон
Карен
Карл
Карм
Калин
Камиль
Каспар
Константин
Корней
Кузьма
Козьма
Колумбий
Корнелий
Касьян
Кассиан
Конон
Конрад
Кондратий
Кондрат
Ким
Киприан
Корнил
Краснослав
Кир
Кирилл
Кристоф
Ксенофонт
Климентий
Клементий
Климент
Клим
Курт
Кюри
Куприян
Киприан
Клавдий
Клемент
Лазарь
Ларион
Лавр
Лаврентий
Лука
Лукьян
Лаэрт
Лев
Лионель
Лир
Левкий
Лель
Лор
Лоренс
Ленар
Лениан
Лорис
Лоэнгрин
Лукиан
Любим
Либерт
Ливадий
Леон
Леонард
Любомир
Людвиг
Леонид
Леонтий
Люксен
Люциан
Леопольд
Лермонт
Люсьен
Макс
Максим
Марин
Марк
Мариан
Марьян
Маврикий
Май
Майслав
Маеслав
Макар
Макарий
Максимилиан
Мануил
Мануйло
Милад
Милан
Манфред
Марат
Милен
Милий
Маркел
Маркиан
Мир
Мирон
Мурат
Мюд
Марлен
Марс
Марсен
Мартын
Мирослав
Михаил
Мартин
Матвей
Михайло
Модест
Меркурий
Мефодий
Моисей
Монолит
Мечеслав
Милонег
Милослав
Морис
Мстислав
Наум
Надир
Назар
Наль
Натан
Назарий
Назим
Нельсон
Неон
Николай
Никон
Нестер
Никандр
Неонил
Нестор
Норд
Нинел
Нинель
Нифонт
Новомир
Никифор
Никодим
Нодар
Ной
Нисон
Нил
Никанор
Никита
Овидий
Одиссей
Олимпий
Олег
Оливер
Октябрин
Октябрь
Онисим
Орест
Оксар
Октавиан
Осип
Оскар
Остромир
Отто
Ольгерд
Омар
Остап
Оттон
Павел
Парамон
Партизан
Палладий
Пантелей
Панфил
Пров
Прозор
Прокопий
Пантелеймон
Пётр
Пимен
Прокофий
Платон
Поликарп
Протас
Прохор
Пахом
Пересвет
Порфирий
Потап
Ральф
Рандольф
Равель
Равиль
Радомир
Раймонд
Рафаил
Рафаэль
Робинзон
Родион
Рид
Ричард
Ратмир
Рауль
Ромен
Ромуальд
Радим
Радислав
Рашид
Рем
Радамес
Радий
Ренальд
Рональд
Рустам
Рустем
Ренат
Ринат
Рождеро
Ролан
Рудольф
Рунар
Рихард
Роальд
Роланд
Роман
Руслан
Руссо
Роберт
Робеспьер
Ростислав
Рубен
Рэм
Рюрик
Савелий
Самсон
Савва
Сава
Севериан
Северян
Сократ
Соломон
Светозар
Светослав
Серапион
Серафим
Самуил
Самойло
Святослав
Севастиан
Свет
Светлан
Севастьян
Север
Семён
Симеон
Спартак
Спиридон
Слава
Совет
Северин
Северьян
Сидор
Сила
Степан
Стефан
Сергей
Сигизмунд
Сталий
Станислав
Святогор
Святополк
Сильвест
Симон
Стратон
Сурен
Софокл
Софон
Тимофей
Тимур
Тихон
Товий
Теймураз
Тельнан
Тит
Тихомир
Торий
Тристан
Тенгиз
Теодор
Таир
Тарас
Томас
Торез
Туллий
Терентий
Тигран
Трифон
Трофим
Устин
Фёдор
Федор
Фадей
Фаддей
Федосий
Феофан
Филат
Феофилакт
Флоренц
Флорин
Фарид
Февралин
Фома
Фотий
Флегонт
Флорентий
Фидель
Филарет
Феликс
Феодосий
Фот
Франц
Филимон
Филипп
Фернан
Фернанд
Флор
Фридрих
Фрол
Христоф
Харитон
Храбр
Цезарь
Чарльз
Чеслав
Шамиль
Шмидт
Эльдар
Эльмар
Эвальд
Эдвард
Эраст
Эрг
Эдмонд
Эдуард
Эдвин
Эдгар
Эйнар
Электрон
Эль
Эльбрус
Энергий
Эразм
Эрнест
Эрнст
Эдип
Эдмунд
Эльмир
Эмилиан
Энвер
Энгель
Эрих
Эрлен
Эмилий
Эммануил
Эрий
Эрик
Юлиан
Юрий
Юджин
Ювеналий
Юстин
Юлий
Юпитер
Юм
Яромир
Ян
Яков
Януарий
Ярослав
Ярополк
